"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Проверка калькулятора","0","","1","0","","0"
"0","Проверка итоговой суммы при заказе товара на сайте","0","","1","0","","0"
