"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"На странице калькулятора нужно установить время ожидания ответа, ввести значение в калькулятор и, после появления результата выполнения операции, сравнить значение результата и установленное значение","47312","Проверка появления ответа в калькуляторе","lesson_10.calculator","Fri Aug 08 23:06:07 IRKT 2025","passed","Fri Aug 08 23:06:54 IRKT 2025","","calc_test","",""
"Выполнение действий на сайте магазина по авторизации, выбору товара, переход в корзину, проверка товаров, оформление заказа через заполения форм","3960","Проверка итоговой суммы и заранее заданного значения","lesson_10.shop","Fri Aug 08 23:07:02 IRKT 2025","passed","Fri Aug 08 23:07:06 IRKT 2025","","shop_test","",""
